"Part";"Value";"Device";"Package";"Description";"TP_SIGNAL_NAME";
"C1";"47uF";"RCL_CPOL-US150CLZ-1014";"RCL_150CLZ-1014";"POLARIZED CAPACITOR, American symbol";"";
"C2";"4.7uF";"RCL_CPOL-US150CLZ-1014";"RCL_150CLZ-1014";"POLARIZED CAPACITOR, American symbol";"";
"C3";"100nF";"RCL_C-EUC1206";"RCL_C1206";"CAPACITOR, European symbol";"";
"C4";"4.7uF";"RCL_CPOL-US150CLZ-1014";"RCL_150CLZ-1014";"POLARIZED CAPACITOR, American symbol";"";
"C5";"100nF";"RCL_C-EUC1206";"RCL_C1206";"CAPACITOR, European symbol";"";
"C6";"100nF";"RCL_C-EUC1206";"RCL_C1206";"CAPACITOR, European symbol";"";
"C7";"4.7uF";"RCL_CPOL-US150CLZ-1014";"RCL_150CLZ-1014";"POLARIZED CAPACITOR, American symbol";"";
"JP1";"ESP_JTAG";"PINHD-1X7";"1X07";"PIN HEADER";"";
"JP2";"ESP_RST";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP3";"ESP_PROG";"PINHD-1X5";"1X05";"PIN HEADER";"";
"JP4";"SDCARD_BREAKOUT";"PINHD-1X8";"1X08";"PIN HEADER";"";
"JP5";"JUMPER-SMT_3_NO_NO-SILK";"JUMPER-SMT_3_NO_NO-SILK";"SMT-JUMPER_3_NO_NO-SILK";"Normally open jumper";"";
"JP6";"JUMPER-SMT_3_NO_NO-SILK";"JUMPER-SMT_3_NO_NO-SILK";"SMT-JUMPER_3_NO_NO-SILK";"Normally open jumper";"";
"JP7";"JUMPER-SMT_3_NO_NO-SILK";"JUMPER-SMT_3_NO_NO-SILK";"SMT-JUMPER_3_NO_NO-SILK";"Normally open jumper";"";
"JP8";"JUMPER-SMT_3_NO_NO-SILK";"JUMPER-SMT_3_NO_NO-SILK";"SMT-JUMPER_3_NO_NO-SILK";"Normally open jumper";"";
"JP9";"IM_SWD";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP10";"ANT1";"HEADER-1X1ROUND";"1X01_ROUND";"PIN HEADER";"";
"JP11";"Socket: 1U";"PINHD-2X18";"2X18";"PIN HEADER";"";
"JP12";"ANT2";"HEADER-1X1ROUND";"1X01_ROUND";"PIN HEADER";"";
"LED1";"RED(0805)";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED2";"GREEN(0805)";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"Q1";"BC847BS";"BC847BS";"SOT363_PHILIPS";"NPN general purpose double transistor";"";
"R1";"100";"RCL_R-USM0805";"RCL_M0805";"RESISTOR, American symbol";"";
"R2";"100k";"RCL_R-USM0805";"RCL_M0805";"RESISTOR, American symbol";"";
"R3";"10k";"RCL_R-USM0805";"RCL_M0805";"RESISTOR, American symbol";"";
"R4";"10k";"RCL_R-USM0805";"RCL_M0805";"RESISTOR, American symbol";"";
"R5";"100";"RCL_R-USM0805";"RCL_M0805";"RESISTOR, American symbol";"";
"R6";"470";"RCL_R-USM0805";"RCL_M0805";"RESISTOR, American symbol";"";
"R7";"100";"RCL_R-USM0805";"RCL_M0805";"RESISTOR, American symbol";"";
"R8";"100k";"RCL_R-USM0805";"RCL_M0805";"RESISTOR, American symbol";"";
"R9";"470";"RCL_R-USM0805";"RCL_M0805";"RESISTOR, American symbol";"";
"SJ1";"";"SOLDERJUMPERREFLOW";"SOLDERJUMPER_REFLOW";"SMD Solder JUMPER";"";
"SJ2";"";"SOLDERJUMPERREFLOW";"SOLDERJUMPER_REFLOW";"SMD Solder JUMPER";"";
"SJ3";"";"SOLDERJUMPERREFLOW";"SOLDERJUMPER_REFLOW";"SMD Solder JUMPER";"";
"TP1";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"TP2";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"TP3";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"TP4";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"U1";"ESP-WROOM-32U (w/uFL)";"ESP-WROOM-32";"ESP-WROOM-32";"Espressif Systems ESP-WROOM-32";"";
"U2";"IMAS980TH";"IMAS980TH";"IMAS923TH";"eMOD iMAS923TH";"";
"U3";"WG209_3E6";"WG209";"WG209";"WiFi Module WG209";"";
"U4";"RFM95W_SMT";"RFM95W_SMT";"RFMHCW_SMT";"RFM69HCW - ISM Band RF Transceiver";"";
"X1";"uFL";"ANTENNA_U.FL";"U.FL";"U.FL Antenna Connector";"";
"X2";"uFL";"ANTENNA_U.FL";"U.FL";"U.FL Antenna Connector";"";
